date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:14	2349/2349	---M--	200	added ('OK')	text/plain	etag:%22da6568-92d-59c4481be6100%22	https://www.nyu.edu/robots.txt		(from )
11:34:14	4169/4169	---M-Z	200	added ('OK')	text/html	etag:%22806005-1049-424fb1d21fac0%22	https://www.nyu.edu/projects/burbank/	www.nyu.edu/projects/burbank/index.html	(from )
11:34:15	2547/2547	---M--	200	added ('OK')	text/css	etag:%2280601b-9f3-3d9b774cd8300%22	https://www.nyu.edu/projects/burbank/styles.css	www.nyu.edu/projects/burbank/styles.css	(from https://www.nyu.edu/projects/burbank/)
11:34:16	7162/7162	---M-Z	200	added ('OK')	text/html	etag:%22805f46-1bfa-3e2b9a8ec0840%22	https://www.nyu.edu/projects/burbank/chapter1/index.htm	www.nyu.edu/projects/burbank/chapter1/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:17	2218/2218	---M-Z	200	added ('OK')	text/html	etag:%22805f49-8aa-3e2b98443e080%22	https://www.nyu.edu/projects/burbank/chapter2/index.htm	www.nyu.edu/projects/burbank/chapter2/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:18	6425/6425	---M-Z	200	added ('OK')	text/html	etag:%22805f61-1919-3e2b9845322c0%22	https://www.nyu.edu/projects/burbank/chapter3/index.htm	www.nyu.edu/projects/burbank/chapter3/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:19	3851/3851	---M-Z	200	added ('OK')	text/html	etag:%22805f70-f0b-3e2b9845322c0%22	https://www.nyu.edu/projects/burbank/chapter4/index.htm	www.nyu.edu/projects/burbank/chapter4/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:20	3516/3516	---M-Z	200	added ('OK')	text/html	etag:%22805f7d-dbc-3e2b984626500%22	https://www.nyu.edu/projects/burbank/chapter5/index.htm	www.nyu.edu/projects/burbank/chapter5/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:21	6538/6538	---M-Z	200	added ('OK')	text/html	etag:%22805fc6-198a-3e2b984626500%22	https://www.nyu.edu/projects/burbank/chapter6/index.htm	www.nyu.edu/projects/burbank/chapter6/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:22	6730/6730	---M-Z	200	added ('OK')	text/html	etag:%22805ffc-1a4a-3e2b98471a740%22	https://www.nyu.edu/projects/burbank/chapter7/index.htm	www.nyu.edu/projects/burbank/chapter7/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:23	2158/2158	---M-Z	200	added ('OK')	text/html	etag:%22805ffe-86e-3e2b98471a740%22	https://www.nyu.edu/projects/burbank/chapter8/index.htm	www.nyu.edu/projects/burbank/chapter8/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:24	6596/6596	---M-Z	200	added ('OK')	text/html	etag:%22806018-19c4-3e2b98480e980%22	https://www.nyu.edu/projects/burbank/statistics/index.htm	www.nyu.edu/projects/burbank/statistics/index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:25	17947/17947	---M-Z	200	added ('OK')	text/html	etag:%22806001-461b-3e2b9945bc000%22	https://www.nyu.edu/projects/burbank/doc_index.htm	www.nyu.edu/projects/burbank/doc_index.html	(from https://www.nyu.edu/projects/burbank/)
11:34:26	1595/1595	---M-Z	200	added ('OK')	text/html	etag:%22806008-63b-3e2b985198000%22	https://www.nyu.edu/projects/burbank/resources.htm	www.nyu.edu/projects/burbank/resources.html	(from https://www.nyu.edu/projects/burbank/)
11:34:27	2130/2130	---M-Z	200	added ('OK')	text/html	etag:%22806000-852-3e2b984fafb80%22	https://www.nyu.edu/projects/burbank/contact.htm	www.nyu.edu/projects/burbank/contact.html	(from https://www.nyu.edu/projects/burbank/)
11:34:29	102483/102483	---M--	200	added ('OK')	image/gif	etag:%2219053-3d9b787758340%22	https://www.nyu.edu/projects/burbank/home%20page/new-cover-sepia-without-scr.gif	www.nyu.edu/projects/burbank/home%20page/new-cover-sepia-without-scr.gif	(from https://www.nyu.edu/projects/burbank/)
11:34:30	42603/42603	---M--	200	added ('OK')	image/jpeg	etag:%22a66b-3d9b77ae1e880%22	https://www.nyu.edu/projects/burbank/back2.jpg	www.nyu.edu/projects/burbank/back2.jpg	(from https://www.nyu.edu/projects/burbank/styles.css)
11:34:31	16307/16307	---M--	200	added ('OK')	image/jpeg	etag:%223fb3-3d9b77c40dc40%22	https://www.nyu.edu/projects/burbank/line.jpg	www.nyu.edu/projects/burbank/line.jpg	(from https://www.nyu.edu/projects/burbank/styles.css)
11:34:31	52124/52124	---M--	200	added ('OK')	image/jpeg	etag:%22cb9c-3d9b77a865b00%22	https://www.nyu.edu/projects/burbank/back-top.jpg	www.nyu.edu/projects/burbank/back-top.jpg	(from https://www.nyu.edu/projects/burbank/styles.css)
11:34:32	16272/16272	---M--	200	added ('OK')	image/jpeg	etag:%223f90-3d9b77d444280%22	https://www.nyu.edu/projects/burbank/lineB.jpg	www.nyu.edu/projects/burbank/lineB.jpg	(from https://www.nyu.edu/projects/burbank/styles.css)
